ParticleSize,ImpingementAngle,ImpactVelocity,Materials,Erosion
300-355,75,45,GunMetal,0.11207
300-355,90,45,GunMetal,0.1051
300-355,15,40,GunMetal,0.12876
300-355,30,40,GunMetal,0.12629
300-355,45,40,GunMetal,0.10812
300-355,60,40,GunMetal,0.11633
300-355,75,40,GunMetal,0.10666
300-355,90,40,GunMetal,0.10199
300-355,15,35,GunMetal,0.11386
300-355,30,35,GunMetal,0.11139
300-355,45,35,GunMetal,0.09322
300-355,60,35,GunMetal,0.10843
300-355,75,35,GunMetal,0.09176
300-355,90,35,GunMetal,0.08709
300-355,15,30,GunMetal,0.10127
300-355,30,30,GunMetal,0.0998
300-355,45,30,GunMetal,0.08368
300-355,60,30,GunMetal,0.09156
300-355,75,30,GunMetal,0.0864
300-355,90,30,GunMetal,0.08096
300-355,15,50,Aluminum,0.11151
300-355,30,50,Aluminum,0.09926
300-355,45,50,Aluminum,0.0855
300-355,60,50,Aluminum,0.08852
300-355,75,50,Aluminum,0.08981
300-355,90,50,Aluminum,0.0948
300-355,15,45,Aluminum,0.09805
300-355,30,45,Aluminum,0.0818
300-355,45,45,Aluminum,0.07104
300-355,60,45,Aluminum,0.07906
300-355,75,45,Aluminum,0.07535
300-355,90,45,Aluminum,0.07034
300-355,15,40,Aluminum,0.08617
300-355,30,40,Aluminum,0.07927
300-355,45,40,Aluminum,0.06804
300-355,60,40,Aluminum,0.06728
300-355,75,40,Aluminum,0.06767
300-355,90,40,Aluminum,0.06625
300-355,15,35,Aluminum,0.07371
300-355,30,35,Aluminum,0.06681
300-355,45,35,Aluminum,0.05558
300-355,60,35,Aluminum,0.05782
300-355,75,35,Aluminum,0.05521
300-355,90,35,Aluminum,0.05379
300-355,15,30,Aluminum,0.06706
300-355,30,30,Aluminum,0.06238
300-355,45,30,Aluminum,0.05436
300-355,60,30,Aluminum,0.05478
300-355,75,30,Aluminum,0.05448
300-355,90,30,Aluminum,0.05317
300-355,15,50,MildSteel,0.10156
300-355,30,50,MildSteel,0.09942
300-355,45,50,MildSteel,0.07621
300-355,60,50,MildSteel,0.07814
300-355,75,50,MildSteel,0.07944
300-355,90,50,MildSteel,0.07589
300-355,15,45,MildSteel,0.08758
300-355,30,45,MildSteel,0.0684
300-355,45,45,MildSteel,0.06027
300-355,60,45,MildSteel,0.06918
300-355,75,45,MildSteel,0.05987
300-355,90,45,MildSteel,0.05967
300-355,15,40,MildSteel,0.07295
300-355,30,40,MildSteel,0.06708
300-355,45,40,MildSteel,0.05527
300-355,60,40,MildSteel,0.05531
300-355,75,40,MildSteel,0.05491
300-355,90,40,MildSteel,0.05358
300-355,15,35,MildSteel,0.05666
300-355,30,35,MildSteel,0.05962
300-355,45,35,MildSteel,0.03898
300-355,60,35,MildSteel,0.04202
300-355,75,35,MildSteel,0.03862
300-355,90,35,MildSteel,0.03729
300-355,15,30,MildSteel,0.06063
300-355,30,30,MildSteel,0.05111
300-355,45,30,MildSteel,0.04672
300-355,60,30,MildSteel,0.04681
300-355,75,30,MildSteel,0.04589
300-355,90,30,MildSteel,0.04583
