Gender,Constructed,Floor,Member,Dis,Ethinic,education,Head
Male,Wooden House (1 story) ,Earth,10,0,Bangalee,Primary ,Self
Male,Wooden House (1 story) ,Earth,7,0,Bangalee,Primary ,Nephew
Male,Wooden House (1 story) ,Bamboo,5,0,Bangalee,Primary ,Self
Female,Tin,Bamboo,3,0,Bangalee,School Secondary Certificate,Husband
Female,Wooden House (1 story) ,Earth,7,1,Bangalee,Primary ,Father
Female,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,4,0,Bangalee,School Secondary Certificate,Father
,,,,,,,
Male,Tin,Earth,4,0,Bangalee,Primary ,Self
Male,Tin,Earth,4,0,Bangalee,School Secondary Certificate,Self
Male,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,4,0,Bangalee,Primary ,Self
Male,Tin,Earth,62,1,Bangalee,Primary ,Self
Female,Tin,Earth,5,0,Bangalee,Primary ,Husband
Female,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,7,0,Bangalee,Literate,Self
Female,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,6,0,Bangalee,Primary ,Husband
Male,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,3,0,Bangalee,Primary ,Self
Male,Tin,Earth,6,1,Bangalee,School Secondary Certificate,Self
Female,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,6,1,Khotrio,Literate,Brother
Male,Tin,Earth,8,1,Bangalee,Higher Secondary Certificate,Self
Male,Tin,Earth,5,0,Bangalee,Master,Self
Male,Tin,Earth,8,1,Bangalee,School Secondary Certificate,Son
Female,Brick Noggin Building,Concrete,8,1,Bangalee,Primary ,Wife
Female,Tin,Earth,2,0,Bangalee,Literate,Wife
Female,Wooden House (2 story) ,Earth,4,0,Bangalee,Literate,Self
Female,Brick Noggin Building,Concrete,6,0,Bangalee,School Secondary Certificate,Wife
Male,Tin,Earth,6,0,Bangalee,Literate,Son
Male,Brick Noggin Building,Earth,6,0,Bangalee,Literate,Self
Male,Tin,Earth,5,0,Bangalee,Higher Secondary Certificate,Son
Male,Tin,Earth,5,0,Bangalee,Literate,Self
Male,Tin,Earth,7,0,Bangalee,Literate,Self
Male,Tin,Earth,7,0,Bangalee,Undergraduate,Son
Male,Tin,Earth,4,0,Bangalee,School Secondary Certificate,Self
Male,Tin,Earth,5,0,Bangalee,Primary ,Self
Female,Tin,Earth,1,0,Bangalee,Primary ,Self
Male,Tin,Earth,5,0,Bangalee,Primary ,Son
Female,Tin,Earth,4,0,Bangalee,Primary ,Wife
Male,Tin,Earth,5,0,Bangalee,Never went to school,Self
Male,Tin,Earth,3,0,Bangalee,Primary ,Self
Female,Tin,Earth,3,0,Bangalee,Primary ,Self
Male,Tin,Earth,4,0,Bangalee,Primary ,Self
Male,Tin,Earth,4,0,Bangalee,Primary ,Self
Female,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,4,0,Bangalee,Primary ,Wife
Female,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,2,0,Bangalee,Primary ,Self
Female,Tin,Earth,4,0,Bangalee,Higher Secondary Certificate,Wife
Female,Tin,Earth,5,0,Bangalee,Literate,Self
Female,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,4,1,Bangalee,Primary ,Father in law
Male,Concrete Building,Concrete,5,0,Bangalee,Literate,Self
Female,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,5,0,Bangalee,Primary ,Husband
Female,Tin,Earth,3,0,Bangalee,Primary ,Husband
Female,Tin,Earth,5,0,Bangalee,Graduate,Husband
Male,Tin,Earth,4,0,Bangalee,Master,Self
Female,Tin,Earth,3,0,Bangalee,Never went to school,Self
Female,Tin,Earth,7,0,Bangalee,Primary ,Wife
Male,Tin,Earth,2,0,Bangalee,Primary ,Self
Female,"Wooden Bamboo Hut (Timber pole and floor, bamboo mat and thatch roof)",Earth,3,0,Bangalee,Literate,Self
Male,Tin,Earth,7,0,Bangalee,Literate,Wife
Male,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,5,1,Bangalee,Literate,Self
Male,Tin,Earth,4,0,Bangalee,Primary ,Self
Female,Tin,Earth,3,0,Bangalee,Never went to school,Husband
Male,Tin,Earth,7,0,Bangalee,Literate,Self
Female,Wooden House (1 story) ,Earth,3,0,Bangalee,Primary ,Husband
Female,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Wood,3,0,Bangalee,Primary ,Self
Female,Wooden House (1 story) ,Earth,4,0,Bangalee,Primary ,Husband
Male,Wooden House (1 story) ,Bamboo,5,0,Bangalee,School Secondary Certificate,Self
Female,Wooden House (1 story) ,Earth,4,0,Bangalee,Never went to school,Self
Male,Wooden House (1 story) ,Concrete,4,0,Bangalee,Primary ,Self
Female,Wooden House (1 story) ,Earth,8,0,Bangalee,Primary ,Self
Male,Wooden House (1 story) ,Concrete,6,0,Bangalee,Primary ,Self
Male,Tin,Earth,3,,Bangalee,Never went to school,Self
Male,Tin,Earth,5,0,Bangalee,Never went to school,Self
Male,Tin,Earth,4,,Bangalee,Never went to school,Self
Male,Brick Noggin Building,Earth,3,0,Bangalee,Undergraduate,Self
Male,Tin,Earth,4,1,Bangalee,Never went to school,Self
Female,Tin,Earth,5,0,Bangalee,School Secondary Certificate,Mother
Female,Tin,Earth,6,0,Bangalee,Primary ,Husband
Female,Tin,Earth,8,1,Bangalee,Never went to school,Husband
Female,Tin,Earth,4,0,Bangalee,Primary ,Husband
Female,Tin,Earth,3,,Bangalee,Never went to school,Son
Female,Tin,Earth,4,0,Bangalee,School Secondary Certificate,Husband
Male,Tin,Earth,7,0,Bangalee,School Secondary Certificate,Self
Male,Tin,Earth,5,1,Bangalee,Literate,Self
Female,Tin,Earth,3,0,Bangalee,Literate,Husband
Female,Tin,Earth,5,0,Bangalee,Primary ,Husband
Female,Tin,Earth,4,0,Bangalee,Never went to school,Husband
Male,Tin,Earth,5,0,Bangalee,Primary ,Self
Male,Tin,Earth,4,,Bangalee,Primary ,Self
Male,Tin,Earth,6,0,Bangalee,Primary ,Self
Male,Tin,Earth,6,1,Bangalee,Never went to school,Self
Male,Tin,Earth,4,,Bangalee,Primary ,Self
Female,Tin,Earth,,0,Bangalee,Primary ,Husband
Male,Tin,Earth,,,Bangalee,Primary ,Self
Male,Tin,Earth,4,,Bangalee,Primary ,Self
Male,Tin,Earth,6,0,Bangalee,Undergraduate,Father
Male,Tin,Earth,7,1,Bangalee,Never went to school,Self
Male,Tin,Earth,2,0,Bangalee,Never went to school,Self
Female,Tin,Earth,5,0,Bangalee,School Secondary Certificate,Husband
Female,Tin,Earth,4,,Bangalee,Primary ,Husband
Male,Tin,Earth,,1,Bangalee,Undergraduate,Father
Female,Tin,Earth,5,0,Bangalee,Literate,Husband
Male,Tin,Earth,5,0,Bangalee,Primary ,Self
Male,Tin,Earth,8,0,Bangalee,Primary ,Self
Male,Tin,Earth,3,0,Bangalee,Primary ,Self
Male,Tin,Earth,4,0,Bangalee,School Secondary Certificate,Self
Male,Tin,Earth,3,0,Bangalee,School Secondary Certificate,Self
Male,Tin,Earth,5,0,Bangalee,School Secondary Certificate,Self
Female,Tin,Earth,5,0,Bangalee,School Secondary Certificate,Husband
Female,Tin,Earth,5,0,Bangalee,School Secondary Certificate,Husband
Male,Tin,Earth,6,0,Bangalee,Never went to school,Son
Male,Tin,Earth,3,,Bangalee,Higher Secondary Certificate,Self
Male,Tin,Earth,3,,Bangalee,Never went to school,Husband
Female,Tin,Earth,3,0,Bangalee,Primary ,Husband
Female,Tin,Earth,5,0,Bangalee,Primary ,Husband
Female,Tin,Earth,5,0,Bangalee,School Secondary Certificate,Husband
Female,Tin,Earth,3,,Bangalee,Primary ,Father
Male,Tin,Earth,3,0,Bangalee,Literate,Self
Female,Tin,Earth,5,0,Bangalee,School Secondary Certificate,Husband
Female,Tin,Earth,5,0,Bangalee,Primary ,Husband
