Age,Gender,Constructed,Floor,People,Whois,sixty,disability
30,Male,Wooden House (1 story) ,Concrete,6,Over 60 years old Under 5 years old,1,0
27,Male,Tin,Earth,3,,,
40,Male,Tin,Earth,5,Under 5 years old,0,0
45,Male,Tin,Earth,4,,,
23,Male,Brick Noggin Building,Earth,3,Under 5 years old,0,0
50,Male,Tin,Earth,4,Person with disability,0,1
28,Female,Tin,Earth,5,Under 5 years old,0,0
25,Female,Tin,Earth,6,Under 5 years old,0,0
38,Female,Tin,Earth,8,Under 5 years old Person with disability,0,1
30,Female,Tin,Earth,4,"No, there is not a family member in any of these groups",0,0
35,Female,Tin,Earth,3,,,
4,Female,Tin,Earth,4,Under 5 years old,0,0
24,Male,Tin,Earth,7,Under 5 years old Over 60 years old,1,0
33,Male,Tin,Earth,5,Person with disability Pregnant Under 5 years old,0,1
45,Female,Tin,Earth,3,Over 60 years old,1,0
23,Female,Tin,Earth,5,Under 5 years old,0,0
60,Female,Tin,Earth,4,Over 60 years old,1,0
28,Male,Tin,Earth,5,Under 5 years old,0,0
47,Male,Tin,Earth,4,,,
65,Male,Tin,Earth,6,Over 60 years old,1,0
54,Male,Tin,Earth,6,Under 5 years old Person with disability,0,1
55,Male,Tin,Earth,4,,,
21,Female,Tin,Earth,,Under 5 years old Over 60 years old,1,0
33,Male,Tin,Earth,,,,
40,Male,Tin,Earth,4,,,
22,Male,Tin,Earth,6,Under 5 years old,0,0
35,Male,Tin,Earth,7,Under 5 years old Over 60 years old Person with disability,1,1
75,Male,Tin,Earth,2,Over 60 years old,1,0
20,Female,Tin,Earth,5,Under 5 years old Over 60 years old Pregnant,1,0
22,Female,Tin,Earth,4,,,
20,Male,Tin,Earth,,Person with disability,0,1
40,Female,Tin,Earth,5,Under 5 years old,0,0
28,Male,Tin,Earth,5,Under 5 years old Over 60 years old,1,0
65,Male,Tin,Earth,8,Over 60 years old Under 5 years old,1,0
24,Male,Tin,Earth,3,Under 5 years old,0,0
35,Male,Tin,Earth,4,Under 5 years old,0,0
35,Male,Tin,Earth,3,Under 5 years old,0,0
30,Male,Tin,Earth,5,Over 60 years old Under 5 years old,1,0
32,Female,Tin,Earth,5,Under 5 years old Over 60 years old,1,0
40,Female,Tin,Earth,5,Over 60 years old,1,0
70,Male,Tin,Earth,6,Over 60 years old,1,0
20,Male,Tin,Earth,3,,,
40,Male,Tin,Earth,3,,,
20,Female,Tin,Earth,3,Under 5 years old,0,0
30,Female,Tin,Earth,5,Under 5 years old,0,0
30,Female,Tin,Earth,5,Under 5 years old,0,0
24,Female,Tin,Earth,3,,,
80,Male,Tin,Earth,3,Over 60 years old,1,0
35,Female,Tin,Earth,5,Under 5 years old,0,0
35,Female,Tin,Earth,5,Under 5 years old,0,0
45,Female,Tin,Earth,3,Over 60 years old,1,0
28,Female,Tin,Earth,7,Under 5 years old Over 60 years old,1,0
46,Male,Tin,Earth,6,Under 5 years old,0,0
28,Female,Tin,Earth,6,Over 60 years old Under 5 years old,1,0
45,Female,Tin,Earth,6,Under 5 years old Over 60 years old,1,0
63,Male,Tin,Earth,7,Over 60 years old Under 5 years old,1,0
36,Female,Tin,Earth,5,Under 5 years old,0,0
42,Female,Tin,Earth,6,Under 5 years old Person with disability,0,1
44,Male,Tin,Earth,5,Over 60 years old,1,0
32,Female,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,4,Over 60 years old,1,0
42,Male,Tin,Earth,4,Over 60 years old,1,0
38,Female,Tin,Earth,3,"No, there is not a family member in any of these groups",0,0
48,Female,Brick Noggin Building,Carpet,3,Over 60 years old,1,0
32,Female,Tin,Earth,8,Over 60 years old Under 5 years old,1,0
32,Male,Tin,Earth,5,Over 60 years old,1,0
28,Male,Tin,Earth,6,Over 60 years old Under 5 years old Person with disability,1,1
64,Male,Wooden House (1 story) ,Earth,7,Over 60 years old Under 5 years old,1,0
22,Female,Wooden House (1 story) ,Earth,6,Over 60 years old Under 5 years old Person with disability,1,1
58,Male,Wooden House (1 story) ,Earth,4,"No, there is not a family member in any of these groups",0,0
78,Male,Tin,Earth,3,Over 60 years old,1,0
29,Female,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,5,Under 5 years old Over 60 years old,1,0
45,Female,Wooden House (1 story) ,Earth,6,Over 60 years old,1,0
55,Female,Wooden House (1 story) ,Earth,5,Over 60 years old,1,0
32,Female,Brick Noggin Building,Earth,3,Under 5 years old,0,0
32,Male,Brick Noggin Building,Concrete,4,Under 5 years old,0,0
30,Female,Brick Noggin Building,Earth,7,Over 60 years old Under 5 years old,1,0
38,Female,Brick Noggin Building,Bamboo,7,Under 5 years old,0,0
63,Male,Tin,Concrete,5,Over 60 years old,1,0
34,Female,Tin,Earth,3,"No, there is not a family member in any of these groups",0,0
20,Female,Tin,Concrete,4,"No, there is not a family member in any of these groups",0,0
50,Male,Tin,Earth,4,"No, there is not a family member in any of these groups",0,0
32,Female,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,2,"No, there is not a family member in any of these groups",0,0
45,Male,Tin,Earth,5,Mother with new borne baby,0,0
25,Male,Tin,Earth,3,"No, there is not a family member in any of these groups",0,0
24,Female,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,5,Over 60 years old,1,0
50,Female,Tin,Concrete,7,Over 60 years old Pregnant,1,0
50,Female,Tin,Earth,5,Over 60 years old,1,0
62,Male,Tin,Concrete,7,Over 60 years old Under 5 years old,1,0
58,Male,Tin,Earth,5,"No, there is not a family member in any of these groups",0,0
42,Male,Tin,Earth,4,Under 5 years old Over 60 years old,1,0
48,Male,Tin,Earth,8,Over 60 years old Under 5 years old,1,0
62,Female,Tin,Earth,7,Over 60 years old,1,0
58,Female,Wooden House (2 story) ,Concrete,5,Over 60 years old Person with disability,1,1
50,Male,Tin,Earth,5,"No, there is not a family member in any of these groups",0,0
,Male,Tin,Earth,5,Over 60 years old,1,0
29,Female,Tin,Earth,6,Over 60 years old,1,0
48,Male,Tin,Earth,5,Person with disability Over 60 years old Pregnant,1,1
32,Female,Tin,Earth,5,Under 5 years old,0,0
34,Female,Tin,Earth,4,"No, there is not a family member in any of these groups",0,0
42,Female,Tin,Earth,5,Over 60 years old Under 5 years old,1,0
43,Female,"Wooden Bamboo Hut (Timber pole and floor, bamboo mat and thatch roof)",Concrete,2,"No, there is not a family member in any of these groups",0,0
25,Female,Tin,Earth,4,Under 5 years old,0,0
23,Female,Tin,Earth,5,"No, there is not a family member in any of these groups",0,0
30,Male,Tin,Concrete,4,Under 5 years old,0,0
35,Female,Concrete Building,Concrete,7,"No, there is not a family member in any of these groups",0,0
38,Female,Tin,Earth,4,"No, there is not a family member in any of these groups",0,0
38,Male,Tin,Earth,5,Person with disability,0,1
52,Female,Tin,Earth,7,Under 5 years old Over 60 years old,1,0
38,Female,Tin,Earth,3,"No, there is not a family member in any of these groups",0,0
38,Female,Tin,Earth,6,"No, there is not a family member in any of these groups",0,0
65,Male,Tin,Earth,6,Over 60 years old,1,0
22,Female,Tin,Earth,4,Under 5 years old,0,0
39,Male,Tin,Earth,4,Under 5 years old,0,0
25,Female,Tin,Earth,5,Over 60 years old,1,0
28,Male,Tin,Earth,4,Under 5 years old,0,0
20,Male,Tin,Earth,4,Under 5 years old,0,0
32,Female,,Concrete,6,Under 5 years old,0,0
24,Female,Tin,Earth,7,Under 5 years old Over 60 years old,1,0
55,,Tin,Earth,6,Over 60 years old,1,0
52,Female,Concrete Building,Concrete,6,Under 5 years old,0,0
24,Female,Tin,Earth,6,Under 5 years old,0,0
24,Female,Tin,Earth,4,Under 5 years old,0,0
38,Female,Tin,,6,"No, there is not a family member in any of these groups",0,0
34,Female,Tin,Earth,6,Under 5 years old,0,0
46,Male,Tin,Earth,3,Under 5 years old,0,0
35,Female,Tin,Earth,3,Over 60 years old,1,0
42,Male,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,3,Under 5 years old,0,0
53,Female,Tin,Earth,1,"No, there is not a family member in any of these groups",0,0
65,Male,Tin,Earth,3,Over 60 years old,1,0
31,Female,Tin,Earth,4,"No, there is not a family member in any of these groups",0,0
55,Male,Tin,Earth,5,"No, there is not a family member in any of these groups",0,0
22,Female,Tin,Earth,5,Over 60 years old Under 5 years old,1,0
85,Male,Tin,Earth,2,Over 60 years old,1,0
48,Female,Tin,Earth,3,"No, there is not a family member in any of these groups",0,0
47,Male,Tin,Earth,4,"No, there is not a family member in any of these groups",0,0
38,Female,Tin,Earth,4,"No, there is not a family member in any of these groups",0,0
